team,fg_pct,fg3_pct,ft_pct,year,off_rtg,def_rtg,pace,fta_per_fga_pct,fg3a_per_fga_pct,ts_pct,mov,sos,wins,losses,efg_pct,orb_pct,tov_pct,ft_rate,opp_efg_pct,opp_tov_pct,drb_pct,opp_ft_rate,win_pct
PHO,.492,0.412,0.77,2010,115.3,110.2,95.3,0.312,0.261,0.585,4.90,-0.23,54,28,0.546,0.28,0.14,0.24,0.491,0.12,0.71,0.224,0.71
GSW,.469,0.375,0.782,2010,108.1,111.7,100.4,0.294,0.238,0.557,-3.60,0.32,26,56,0.514,0.21,0.13,0.23,0.525,0.15,0.68,0.26,0.29
DEN,.468,0.359,0.772,2010,111.8,107.5,94.8,0.376,0.227,0.561,4.09,0.06,53,29,0.509,0.26,0.13,0.29,0.495,0.14,0.72,0.251,0.71
UTA,.491,0.364,0.741,2010,110.7,105.0,93.8,0.34,0.184,0.565,5.34,-0.01,53,29,0.524,0.27,0.14,0.252,0.492,0.14,0.76,0.269,0.71
TOR,.482,0.371,0.764,2010,111.3,113.2,93.1,0.319,0.211,0.564,-1.78,-0.05,40,42,0.521,0.25,0.13,0.244,0.513,0.12,0.73,0.247,0.5
ORL,.470,0.375,0.724,2010,111.4,103.3,92.0,0.34,0.35,0.573,7.49,-0.37,59,23,0.536,0.25,0.14,0.246,0.477,0.12,0.77,0.205,0.71
MEM,.469,0.337,0.733,2010,108.3,109.9,93.6,0.32,0.148,0.536,-1.51,0.13,40,42,0.494,0.31,0.14,0.235,0.52,0.13,0.73,0.205,0.5
HOU,.447,0.351,0.772,2010,107.6,108.0,94.0,0.292,0.265,0.537,-0.37,0.35,42,40,0.494,0.27,0.13,0.225,0.511,0.14,0.74,0.215,0.5
NYK,.455,0.346,0.782,2010,107.6,111.6,94.0,0.256,0.312,0.547,-3.82,-0.19,29,53,0.509,0.24,0.13,0.2,0.526,0.13,0.72,0.207,0.29
CLE,.485,0.381,0.72,2010,111.2,104.1,91.4,0.341,0.248,0.57,6.52,-0.36,61,21,0.532,0.25,0.13,0.246,0.482,0.12,0.77,0.218,0.75
DAL,.464,0.372,0.816,2010,109.2,106.3,92.5,0.277,0.222,0.552,2.72,-0.06,55,27,0.506,0.24,0.12,0.226,0.495,0.14,0.74,0.206,0.71
LAL,.457,0.341,0.765,2010,108.8,103.7,92.8,0.289,0.227,0.538,4.72,0.06,57,25,0.496,0.28,0.12,0.221,0.484,0.13,0.74,0.195,0.71
ATL,.468,0.36,0.759,2010,111.9,106.7,90.1,0.281,0.214,0.545,4.66,-0.22,53,29,0.506,0.28,0.11,0.213,0.496,0.13,0.73,0.208,0.71
OKC,.462,0.34,0.805,2010,108.3,104.6,93.1,0.333,0.185,0.547,3.49,0.06,50,32,0.494,0.29,0.14,0.268,0.483,0.14,0.74,0.229,0.62
SAS,.473,0.358,0.74,2010,110.0,104.5,91.7,0.296,0.232,0.552,5.09,-0.02,50,32,0.515,0.27,0.13,0.219,0.483,0.12,0.76,0.214,0.62
IND,.443,0.348,0.775,2010,103.7,106.8,97.1,0.296,0.278,0.536,-3.01,-0.10,32,50,0.491,0.22,0.14,0.229,0.49,0.13,0.73,0.258,0.38
NOP,.464,0.363,0.778,2010,107.4,110.1,92.6,0.243,0.23,0.543,-2.46,0.19,37,45,0.506,0.25,0.13,0.189,0.523,0.14,0.74,0.205,0.43
SAC,.456,0.349,0.726,2010,105.3,109.9,94.0,0.286,0.201,0.528,-4.37,0.30,25,57,0.491,0.28,0.14,0.207,0.505,0.13,0.74,0.244,0.29
BOS,.483,0.348,0.746,2010,107.7,103.8,91.6,0.332,0.228,0.564,3.66,-0.29,50,32,0.522,0.23,0.14,0.248,0.487,0.15,0.74,0.251,0.62
MIN,.449,0.341,0.746,2010,101.7,111.6,96.1,0.278,0.171,0.518,-9.60,0.54,15,67,0.478,0.27,0.15,0.207,0.525,0.13,0.74,0.22,0.15
POR,.461,0.354,0.79,2010,110.8,107.1,87.7,0.315,0.215,0.547,3.30,-0.13,50,32,0.499,0.28,0.12,0.249,0.502,0.13,0.75,0.219,0.62
PHI,.460,0.343,0.756,2010,106.1,110.3,91.6,0.27,0.206,0.534,-3.90,-0.03,27,55,0.496,0.28,0.14,0.204,0.518,0.14,0.73,0.231,0.29
MIL,.436,0.356,0.755,2010,104.9,103.1,91.7,0.239,0.259,0.518,1.70,-0.32,46,36,0.482,0.26,0.12,0.181,0.486,0.15,0.76,0.266,0.57
CHI,.451,0.33,0.754,2010,103.5,105.3,93.1,0.287,0.156,0.52,-1.63,0.00,41,41,0.477,0.27,0.13,0.217,0.484,0.12,0.75,0.212,0.5
MIA,.458,0.346,0.752,2010,106.6,104.1,89.6,0.296,0.219,0.537,2.28,-0.29,47,35,0.496,0.26,0.13,0.223,0.48,0.14,0.75,0.246,0.57
WAS,.449,0.353,0.762,2010,104.2,109.4,91.6,0.283,0.183,0.524,-4.78,0.06,26,56,0.481,0.28,0.14,0.216,0.502,0.13,0.72,0.239,0.29
LAC,.455,0.332,0.73,2010,103.3,110.1,92.6,0.283,0.221,0.529,-6.35,0.34,29,53,0.491,0.27,0.15,0.206,0.509,0.12,0.74,0.214,0.29
CHO,.453,0.346,0.751,2010,104.4,102.8,90.4,0.346,0.211,0.538,1.46,-0.17,44,38,0.49,0.26,0.15,0.26,0.491,0.15,0.74,0.194,0.57
DET,.445,0.314,0.728,2010,105.6,111.4,88.5,0.303,0.18,0.515,-5.11,0.09,27,55,0.474,0.3,0.13,0.22,0.526,0.14,0.73,0.264,0.29
BRK,.429,0.318,0.78,2010,100.6,110.5,91.4,0.307,0.181,0.509,-9.12,0.19,12,70,0.458,0.25,0.14,0.24,0.517,0.13,0.72,0.229,0.13
DEN,.476,0.388,0.765,2011,112.3,107.3,95.6,0.367,0.258,0.574,4.76,0.05,50,32,0.526,0.24,0.13,0.281,0.5,0.13,0.75,0.224,0.62
NYK,.457,0.368,0.809,2011,110.9,110.1,95.6,0.304,0.303,0.561,0.78,-0.30,42,40,0.513,0.24,0.13,0.246,0.511,0.14,0.72,0.24,0.5
HOU,.454,0.367,0.801,2011,111.3,109.0,94.2,0.299,0.264,0.55,2.18,0.19,43,39,0.503,0.27,0.12,0.239,0.5,0.13,0.73,0.219,0.57
PHO,.470,0.377,0.759,2011,109.5,110.4,94.4,0.283,0.271,0.559,-0.89,0.43,40,42,0.522,0.24,0.13,0.215,0.513,0.13,0.72,0.211,0.5
OKC,.464,0.347,0.823,2011,111.2,107.2,92.7,0.363,0.212,0.561,3.79,0.02,55,27,0.501,0.27,0.13,0.299,0.493,0.13,0.74,0.228,0.71
SAS,.475,0.397,0.767,2011,111.8,105.6,92.3,0.299,0.261,0.567,5.71,0.16,61,21,0.527,0.25,0.13,0.229,0.491,0.13,0.75,0.19,0.75
GSW,.461,0.392,0.761,2011,108.2,110.7,94.8,0.241,0.248,0.544,-2.33,0.33,36,46,0.51,0.27,0.13,0.183,0.509,0.14,0.69,0.259,0.43
MIA,.481,0.37,0.769,2011,111.7,103.5,90.9,0.363,0.235,0.573,7.46,-0.71,58,24,0.524,0.25,0.14,0.279,0.475,0.13,0.76,0.223,0.71
LAL,.463,0.352,0.779,2011,111.0,104.3,90.7,0.293,0.22,0.545,6.11,-0.10,57,25,0.502,0.29,0.12,0.228,0.477,0.13,0.72,0.181,0.71
MIN,.441,0.376,0.768,2011,104.2,111.1,96.5,0.282,0.223,0.526,-6.63,0.67,17,65,0.483,0.3,0.15,0.217,0.514,0.13,0.74,0.251,0.15
DAL,.475,0.365,0.777,2011,109.7,105.0,91.3,0.286,0.274,0.565,4.23,0.18,57,25,0.525,0.24,0.14,0.222,0.488,0.13,0.75,0.206,0.71
MEM,.471,0.334,0.75,2011,107.6,105.1,91.9,0.291,0.136,0.534,2.34,0.20,46,36,0.493,0.29,0.13,0.218,0.502,0.16,0.72,0.228,0.57
IND,.442,0.354,0.782,2011,104.8,106.0,94.7,0.3,0.244,0.533,-1.07,-0.30,37,45,0.486,0.26,0.14,0.235,0.487,0.13,0.74,0.237,0.43
UTA,.465,0.346,0.771,2011,108.1,110.1,91.0,0.313,0.191,0.544,-1.83,0.39,39,43,0.498,0.27,0.14,0.241,0.505,0.14,0.72,0.275,0.43
SAC,.449,0.335,0.734,2011,103.5,109.0,95.2,0.284,0.183,0.519,-5.34,0.54,24,58,0.48,0.3,0.14,0.208,0.513,0.14,0.74,0.233,0.29
ORL,.461,0.366,0.692,2011,107.9,102.0,91.2,0.328,0.328,0.554,5.46,-0.54,52,30,0.521,0.26,0.14,0.227,0.475,0.13,0.77,0.219,0.63
TOR,.465,0.316,0.755,2011,106.1,112.9,92.9,0.293,0.162,0.533,-6.28,0.01,22,60,0.491,0.28,0.14,0.221,0.522,0.13,0.72,0.251,0.25
PHI,.461,0.355,0.77,2011,106.6,105.0,91.7,0.273,0.184,0.535,1.50,-0.50,41,41,0.494,0.25,0.12,0.21,0.487,0.14,0.74,0.231,0.5
LAC,.457,0.338,0.707,2011,105.3,108.7,92.8,0.332,0.23,0.535,-3.13,0.42,32,50,0.496,0.28,0.15,0.234,0.499,0.13,0.73,0.25,0.38
CHI,.462,0.361,0.743,2011,108.3,100.3,90.4,0.305,0.215,0.541,7.32,-0.79,62,20,0.501,0.29,0.14,0.227,0.463,0.14,0.76,0.222,0.75
WAS,.443,0.332,0.745,2011,102.4,110.2,93.8,0.29,0.172,0.513,-7.40,0.11,23,59,0.471,0.28,0.14,0.216,0.512,0.14,0.7,0.249,0.29
DET,.460,0.376,0.737,2011,107.7,111.7,89.2,0.279,0.189,0.533,-3.60,-0.18,30,52,0.495,0.27,0.12,0.206,0.526,0.14,0.72,0.235,0.37
BOS,.486,0.365,0.77,2011,106.2,100.3,90.4,0.305,0.18,0.561,5.37,-0.54,56,26,0.519,0.21,0.14,0.235,0.469,0.15,0.75,0.235,0.71
POR,.447,0.345,0.804,2011,108.8,107.1,87.9,0.278,0.228,0.533,1.52,0.32,48,34,0.486,0.3,0.13,0.224,0.51,0.15,0.72,0.231,0.57
CLE,.434,0.342,0.745,2011,102.2,111.8,93.0,0.312,0.224,0.518,-9.01,0.14,19,63,0.472,0.24,0.13,0.233,0.524,0.13,0.73,0.211,0.15
ATL,.462,0.352,0.779,2011,106.1,107.0,89.3,0.269,0.222,0.542,-0.82,-0.28,44,38,0.501,0.23,0.14,0.209,0.495,0.12,0.75,0.211,0.57
NOP,.459,0.36,0.765,2011,106.2,105.2,88.7,0.296,0.192,0.537,0.89,0.39,46,36,0.493,0.25,0.13,0.226,0.501,0.14,0.76,0.22,0.57
BRK,.440,0.343,0.759,2011,103.1,109.9,89.9,0.283,0.201,0.517,-6.24,-0.04,24,58,0.474,0.26,0.13,0.215,0.503,0.12,0.74,0.241,0.29
CHO,.451,0.327,0.756,2011,103.4,107.8,89.6,0.314,0.189,0.528,-4.00,-0.08,34,48,0.482,0.26,0.14,0.237,0.5,0.13,0.75,0.229,0.43
MIL,.430,0.342,0.757,2011,101.6,102.5,89.8,0.287,0.216,0.511,-0.84,-0.17,35,47,0.467,0.25,0.13,0.217,0.481,0.15,0.75,0.236,0.43
DEN,.476,0.332,0.735,2012,109.2,106.2,94.2,0.326,0.243,0.556,2.88,0.29,38,28,0.516,0.28,0.14,0.239,0.508,0.14,0.74,0.185,0.6
SAS,.478,0.393,0.748,2012,110.9,103.2,92.9,0.261,0.257,0.562,7.17,0.11,50,16,0.528,0.25,0.13,0.195,0.489,0.13,0.76,0.168,0.83
OKC,.471,0.358,0.806,2012,109.8,103.2,93.0,0.334,0.252,0.567,6.12,0.32,47,19,0.516,0.28,0.15,0.269,0.465,0.13,0.72,0.207,0.79
UTA,.456,0.323,0.754,2012,106.8,106.1,91.4,0.302,0.153,0.525,0.62,0.30,36,30,0.481,0.3,0.13,0.227,0.493,0.14,0.74,0.245,0.5
MIL,.443,0.345,0.774,2012,105.5,105.2,93.7,0.25,0.224,0.521,0.27,-0.50,31,35,0.481,0.28,0.13,0.194,0.489,0.15,0.71,0.217,0.5
SAC,.436,0.316,0.736,2012,103.8,109.8,94.7,0.268,0.228,0.51,-5.68,0.73,22,44,0.472,0.29,0.13,0.197,0.515,0.14,0.7,0.199,0.33
MIA,.469,0.359,0.775,2012,106.6,100.2,91.2,0.307,0.198,0.549,5.98,-0.27,46,20,0.505,0.27,0.14,0.238,0.479,0.16,0.74,0.2,0.67
PHO,.458,0.343,0.757,2012,106.2,106.5,92.6,0.257,0.238,0.536,-0.24,0.53,33,33,0.499,0.26,0.13,0.194,0.491,0.13,0.72,0.2,0.5
HOU,.449,0.359,0.782,2012,105.5,105.2,91.7,0.235,0.24,0.529,0.23,0.35,34,32,0.492,0.28,0.14,0.184,0.49,0.14,0.73,0.21,0.5
MIN,.433,0.332,0.771,2012,104.3,106.6,93.3,0.306,0.262,0.524,-2.20,0.37,26,40,0.477,0.28,0.14,0.236,0.491,0.12,0.73,0.187,0.34
NYK,.443,0.336,0.741,2012,104.4,101.0,93.2,0.306,0.288,0.533,3.20,-0.81,36,30,0.492,0.27,0.15,0.227,0.485,0.16,0.74,0.224,0.5
GSW,.457,0.388,0.77,2012,105.4,109.1,92.3,0.227,0.248,0.539,-3.41,0.62,23,43,0.505,0.23,0.13,0.175,0.496,0.14,0.69,0.237,0.33
IND,.438,0.368,0.782,2012,106.7,103.1,90.7,0.321,0.198,0.526,3.30,-0.71,42,24,0.474,0.29,0.13,0.251,0.476,0.14,0.72,0.222,0.66
LAC,.455,0.357,0.68,2012,108.5,105.7,89.2,0.287,0.269,0.533,2.56,0.26,40,26,0.502,0.3,0.13,0.195,0.492,0.14,0.73,0.245,0.66
LAL,.457,0.326,0.756,2012,106.0,104.4,90.5,0.299,0.209,0.534,1.42,0.54,41,25,0.491,0.29,0.14,0.226,0.476,0.11,0.75,0.158,0.66
POR,.443,0.346,0.796,2012,105.7,106.4,91.2,0.263,0.255,0.531,-0.62,0.41,28,38,0.488,0.26,0.13,0.209,0.504,0.14,0.73,0.199,0.4
ATL,.454,0.37,0.74,2012,104.9,101.2,90.2,0.259,0.249,0.535,3.44,-0.77,40,26,0.5,0.24,0.13,0.192,0.48,0.14,0.74,0.186,0.66
CHI,.452,0.375,0.722,2012,107.4,98.3,89.1,0.255,0.205,0.523,8.18,-0.76,50,16,0.49,0.33,0.13,0.184,0.45,0.13,0.74,0.175,0.83
DAL,.443,0.339,0.771,2012,103.3,102.3,91.4,0.246,0.271,0.527,0.95,0.83,36,30,0.489,0.23,0.13,0.19,0.479,0.14,0.75,0.203,0.5
MEM,.447,0.326,0.759,2012,104.0,101.8,90.8,0.277,0.157,0.515,2.02,0.42,41,25,0.473,0.3,0.14,0.211,0.485,0.16,0.73,0.227,0.66
ORL,.441,0.375,0.66,2012,105.0,104.1,89.0,0.292,0.346,0.533,0.79,-0.33,37,29,0.506,0.26,0.14,0.193,0.488,0.13,0.76,0.19,0.59
WAS,.441,0.32,0.727,2012,101.0,106.2,92.5,0.253,0.196,0.508,-4.80,-0.34,20,46,0.472,0.27,0.14,0.184,0.492,0.14,0.71,0.229,0.33
PHI,.448,0.362,0.742,2012,103.9,99.2,89.7,0.217,0.175,0.511,4.24,-0.65,35,31,0.48,0.24,0.11,0.161,0.46,0.14,0.75,0.192,0.5
BRK,.425,0.342,0.777,2012,102.9,109.6,90.1,0.269,0.278,0.516,-5.98,-0.39,22,44,0.473,0.28,0.14,0.209,0.513,0.14,0.71,0.209,0.33
CLE,.422,0.346,0.716,2012,101.1,108.9,91.3,0.307,0.238,0.505,-7.20,-0.14,21,45,0.463,0.29,0.14,0.22,0.508,0.13,0.72,0.202,0.33
BOS,.460,0.367,0.778,2012,101.0,98.2,90.4,0.257,0.194,0.535,2.52,-0.26,39,27,0.496,0.2,0.15,0.2,0.452,0.15,0.72,0.216,0.6
DET,.438,0.346,0.752,2012,101.0,106.3,89.2,0.279,0.175,0.51,-4.79,-0.40,25,41,0.468,0.28,0.15,0.21,0.5,0.14,0.73,0.226,0.34
TOR,.440,0.34,0.77,2012,100.8,104.5,89.3,0.274,0.209,0.518,-3.30,-0.36,23,43,0.475,0.26,0.15,0.211,0.475,0.13,0.75,0.26,0.33
NOP,.451,0.333,0.757,2012,100.9,105.1,88.3,0.274,0.152,0.517,-3.76,0.65,21,45,0.476,0.28,0.15,0.207,0.485,0.14,0.73,0.218,0.33
CHO,.414,0.295,0.746,2012,95.2,110.4,91.1,0.276,0.169,0.483,-13.91,-0.05,7,59,0.439,0.24,0.14,0.206,0.512,0.13,0.71,0.206,0.01
DEN,.478,0.343,0.701,2013,110.4,105.1,95.1,0.308,0.217,0.549,5.09,0.28,57,25,0.515,0.31,0.14,0.216,0.493,0.14,0.72,0.193,0.71
HOU,.461,0.366,0.754,2013,109.7,106.1,96.1,0.308,0.349,0.564,3.48,0.22,45,37,0.525,0.26,0.15,0.232,0.502,0.14,0.75,0.196,0.57
OKC,.481,0.377,0.828,2013,112.4,102.6,93.3,0.338,0.244,0.58,9.21,-0.06,60,22,0.527,0.27,0.14,0.28,0.469,0.14,0.73,0.197,0.75
SAS,.481,0.376,0.791,2013,108.3,101.6,94.2,0.258,0.264,0.568,6.40,0.27,58,24,0.531,0.2,0.14,0.204,0.48,0.14,0.75,0.179,0.71
MIA,.496,0.396,0.754,2013,112.3,103.7,90.7,0.297,0.285,0.588,7.87,-0.84,66,16,0.552,0.22,0.14,0.224,0.487,0.15,0.73,0.2,0.85
LAL,.458,0.355,0.692,2013,107.8,106.6,94.4,0.345,0.303,0.548,1.16,0.32,45,37,0.512,0.27,0.14,0.239,0.496,0.12,0.74,0.163,0.57
GSW,.458,0.403,0.79,2013,106.4,105.5,94.5,0.255,0.239,0.545,0.89,0.42,47,35,0.506,0.25,0.14,0.201,0.486,0.12,0.76,0.211,0.57
DAL,.462,0.372,0.793,2013,105.9,106.5,94.1,0.242,0.236,0.544,-0.60,0.36,41,41,0.506,0.22,0.13,0.192,0.492,0.13,0.73,0.227,0.5
LAC,.478,0.358,0.711,2013,110.6,103.6,91.1,0.286,0.265,0.557,6.45,-0.02,56,26,0.526,0.29,0.14,0.203,0.492,0.15,0.74,0.229,0.71
SAC,.447,0.363,0.769,2013,106.2,111.4,93.6,0.271,0.243,0.532,-4.88,0.62,28,54,0.491,0.27,0.13,0.208,0.517,0.14,0.71,0.227,0.29
NYK,.448,0.376,0.759,2013,111.1,106.3,89.8,0.258,0.354,0.55,4.23,-0.50,54,28,0.515,0.26,0.12,0.196,0.508,0.15,0.75,0.216,0.71
MIL,.435,0.36,0.736,2013,103.6,105.2,94.7,0.236,0.232,0.51,-1.50,-0.33,38,44,0.476,0.28,0.13,0.174,0.492,0.14,0.71,0.201,0.43
UTA,.454,0.366,0.764,2013,106.7,106.8,90.9,0.281,0.206,0.533,-0.09,0.38,43,39,0.492,0.29,0.14,0.214,0.501,0.14,0.73,0.226,0.57
ATL,.464,0.371,0.715,2013,104.8,104.4,92.6,0.244,0.286,0.546,0.40,-0.48,44,38,0.517,0.22,0.14,0.174,0.496,0.14,0.74,0.181,0.57
POR,.448,0.353,0.776,2013,105.8,109.2,91.4,0.25,0.284,0.536,-3.17,0.65,33,49,0.498,0.25,0.14,0.194,0.512,0.12,0.73,0.189,0.43
TOR,.446,0.343,0.788,2013,105.9,107.5,90.4,0.274,0.249,0.532,-1.48,-0.48,34,48,0.488,0.26,0.13,0.216,0.5,0.14,0.73,0.247,0.43
BRK,.450,0.357,0.731,2013,108.2,106.2,88.8,0.299,0.269,0.536,1.78,-0.53,49,33,0.498,0.31,0.14,0.219,0.503,0.13,0.74,0.174,0.57
CLE,.434,0.346,0.756,2013,104.3,109.4,92.3,0.265,0.229,0.514,-4.68,-0.19,24,58,0.473,0.28,0.13,0.2,0.523,0.14,0.73,0.225,0.29
MIN,.439,0.305,0.742,2013,102.9,105.4,92.8,0.305,0.22,0.516,-2.37,0.54,31,51,0.473,0.27,0.14,0.226,0.511,0.15,0.74,0.187,0.38
BOS,.465,0.358,0.776,2013,103.1,103.3,91.7,0.263,0.215,0.542,-0.22,-0.40,41,40,0.503,0.2,0.14,0.204,0.482,0.14,0.73,0.216,0.5
PHO,.443,0.33,0.744,2013,101.2,108.1,93.4,0.234,0.21,0.512,-6.46,0.71,25,57,0.477,0.27,0.14,0.174,0.512,0.14,0.72,0.208,0.29
DET,.449,0.356,0.699,2013,103.8,108.1,90.8,0.282,0.217,0.521,-3.99,-0.34,29,53,0.487,0.28,0.14,0.197,0.505,0.13,0.73,0.209,0.29
ORL,.448,0.329,0.755,2013,101.6,109.1,92.2,0.197,0.223,0.514,-6.99,-0.14,20,62,0.485,0.25,0.14,0.149,0.508,0.12,0.75,0.195,0.25
NOP,.448,0.363,0.776,2013,105.7,110.1,88.5,0.248,0.224,0.528,-3.87,0.75,27,55,0.489,0.29,0.14,0.193,0.52,0.13,0.74,0.208,0.29
IND,.436,0.347,0.746,2013,104.3,99.8,90.2,0.293,0.245,0.521,4.02,-0.69,49,32,0.479,0.3,0.14,0.219,0.453,0.13,0.75,0.197,0.58
CHO,.425,0.335,0.75,2013,101.5,111.5,91.5,0.31,0.21,0.507,-9.23,-0.06,21,61,0.46,0.26,0.13,0.233,0.524,0.13,0.71,0.197,0.25
MEM,.444,0.345,0.773,2013,104.9,100.3,88.4,0.261,0.166,0.514,4.15,0.18,56,26,0.472,0.31,0.13,0.202,0.475,0.15,0.74,0.209,0.71
WAS,.435,0.365,0.733,2013,100.2,103.0,92.2,0.261,0.223,0.512,-2.54,-0.25,29,53,0.475,0.25,0.14,0.191,0.483,0.14,0.75,0.206,0.29
CHI,.437,0.353,0.773,2013,103.5,103.2,89.3,0.259,0.189,0.512,0.32,-0.33,45,37,0.47,0.29,0.14,0.201,0.477,0.13,0.74,0.206,0.57
PHI,.444,0.36,0.729,2013,102.0,105.7,91.0,0.2,0.209,0.509,-3.34,-0.17,34,48,0.481,0.25,0.12,0.146,0.495,0.14,0.73,0.2,0.43
LAC,.474,0.352,0.73,2014,112.1,104.8,95.9,0.353,0.291,0.567,6.98,0.30,57,25,0.526,0.25,0.13,0.258,0.484,0.14,0.72,0.222,0.71
HOU,.472,0.358,0.712,2014,111.0,106.3,96.3,0.386,0.33,0.571,4.56,0.50,54,28,0.531,0.27,0.15,0.275,0.489,0.12,0.74,0.193,0.71
MIN,.444,0.341,0.778,2014,108.9,106.2,97.3,0.321,0.245,0.535,2.67,0.43,40,42,0.486,0.27,0.12,0.249,0.518,0.15,0.74,0.177,0.5
POR,.450,0.372,0.815,2014,111.5,107.4,94.9,0.27,0.29,0.548,3.99,0.45,54,28,0.504,0.28,0.12,0.22,0.488,0.11,0.75,0.194,0.71
OKC,.471,0.361,0.806,2014,110.5,103.9,95.4,0.303,0.271,0.566,6.34,0.32,59,23,0.52,0.26,0.14,0.244,0.488,0.14,0.76,0.221,0.71
SAS,.486,0.397,0.785,2014,110.5,102.4,95.0,0.24,0.257,0.571,7.72,0.28,62,20,0.537,0.23,0.14,0.188,0.482,0.13,0.76,0.184,0.75
PHO,.463,0.372,0.758,2014,109.5,106.7,95.8,0.293,0.3,0.558,2.63,0.39,48,34,0.519,0.26,0.14,0.222,0.496,0.14,0.74,0.237,0.57
DAL,.474,0.384,0.795,2014,111.2,108.7,93.5,0.253,0.274,0.564,2.40,0.50,49,33,0.526,0.25,0.13,0.201,0.515,0.15,0.73,0.229,0.57
DEN,.447,0.358,0.726,2014,106.0,108.2,98.1,0.306,0.278,0.536,-2.15,0.75,36,46,0.497,0.28,0.14,0.222,0.5,0.13,0.74,0.233,0.43
