team,fg_pct,fg3_pct,ft_pct,year,off_rtg,def_rtg,pace,fta_per_fga_pct,fg3a_per_fga_pct,ts_pct,mov,sos,wins,losses,efg_pct,orb_pct,tov_pct,ft_rate,opp_efg_pct,opp_tov_pct,drb_pct,opp_ft_rate,win_pct
GSW,.462,0.38,0.753,2014,107.5,102.6,96.2,0.247,0.291,0.55,4.80,0.34,51,31,0.517,0.25,0.14,0.186,0.477,0.14,0.76,0.224,0.62
LAL,.450,0.381,0.757,2014,104.2,110.6,98.7,0.263,0.291,0.542,-6.29,0.96,27,55,0.505,0.2,0.14,0.199,0.513,0.12,0.71,0.192,0.29
MIA,.501,0.364,0.76,2014,110.9,105.8,91.2,0.3,0.292,0.59,4.76,-0.61,54,28,0.554,0.21,0.15,0.228,0.511,0.16,0.73,0.212,0.71
TOR,.445,0.372,0.782,2014,108.8,105.3,91.8,0.306,0.285,0.545,3.24,-0.69,48,34,0.498,0.27,0.13,0.239,0.493,0.14,0.75,0.237,0.57
DET,.447,0.321,0.67,2014,105.9,109.7,94.9,0.296,0.222,0.514,-3.66,-0.48,29,53,0.482,0.31,0.13,0.199,0.52,0.14,0.73,0.218,0.29
ATL,.458,0.363,0.781,2014,105.9,106.4,94.6,0.266,0.316,0.554,-0.48,-0.40,38,44,0.515,0.21,0.14,0.208,0.51,0.14,0.74,0.196,0.43
WAS,.459,0.38,0.731,2014,106.0,104.6,93.2,0.248,0.246,0.538,1.27,-0.79,44,38,0.506,0.25,0.14,0.181,0.504,0.15,0.76,0.22,0.57
SAC,.447,0.333,0.759,2014,105.7,108.8,94.4,0.331,0.218,0.532,-2.90,0.82,28,54,0.484,0.28,0.14,0.251,0.512,0.13,0.77,0.234,0.29
NOP,.459,0.373,0.769,2014,107.2,110.1,92.2,0.286,0.193,0.537,-2.71,0.73,34,48,0.495,0.27,0.13,0.22,0.515,0.14,0.74,0.249,0.43
PHI,.435,0.312,0.71,2014,99.4,109.9,99.2,0.268,0.258,0.51,-10.45,-0.21,19,63,0.475,0.25,0.15,0.19,0.524,0.15,0.72,0.244,0.15
NYK,.449,0.372,0.761,2014,108.3,109.1,90.3,0.248,0.302,0.541,-0.79,-0.61,37,45,0.505,0.25,0.12,0.189,0.514,0.14,0.74,0.245,0.43
BRK,.459,0.369,0.753,2014,106.7,107.7,91.4,0.313,0.301,0.555,-1.00,-0.58,44,38,0.514,0.22,0.14,0.236,0.509,0.15,0.72,0.236,0.57
CLE,.437,0.356,0.751,2014,104.2,107.7,93.1,0.268,0.236,0.518,-3.29,-0.57,33,49,0.479,0.27,0.13,0.201,0.508,0.13,0.76,0.199,0.43
CHO,.442,0.351,0.737,2014,103.6,103.8,92.4,0.297,0.219,0.522,-0.22,-0.67,43,39,0.481,0.22,0.12,0.219,0.491,0.13,0.78,0.183,0.57
IND,.449,0.357,0.779,2014,104.1,99.3,92.5,0.29,0.235,0.535,4.40,-0.77,56,26,0.49,0.25,0.14,0.226,0.46,0.13,0.77,0.197,0.71
ORL,.445,0.353,0.763,2014,101.7,107.4,93.6,0.253,0.235,0.525,-5.44,-0.44,23,59,0.487,0.22,0.14,0.193,0.504,0.13,0.76,0.211,0.29
BOS,.435,0.333,0.777,2014,102.9,107.7,93.3,0.248,0.251,0.517,-4.46,-0.51,25,57,0.477,0.27,0.14,0.193,0.505,0.13,0.74,0.227,0.29
MEM,.464,0.353,0.741,2014,106.3,104.6,89.9,0.248,0.171,0.529,1.57,0.61,50,32,0.494,0.28,0.13,0.184,0.497,0.14,0.76,0.199,0.62
MIL,.438,0.353,0.747,2014,103.0,111.8,91.8,0.274,0.231,0.519,-8.18,-0.23,15,67,0.479,0.27,0.14,0.204,0.52,0.13,0.71,0.225,0.15
UTA,.444,0.344,0.747,2014,103.5,111.3,91.4,0.271,0.237,0.523,-7.17,0.91,25,57,0.484,0.26,0.14,0.202,0.518,0.12,0.74,0.227,0.29
CHI,.432,0.348,0.779,2014,102.5,100.5,90.2,0.29,0.222,0.518,1.85,-0.66,48,34,0.471,0.27,0.14,0.226,0.471,0.14,0.75,0.189,0.57
GSW,.478,0.398,0.768,2015,111.6,101.4,98.3,0.239,0.311,0.571,10.10,-0.09,67,15,0.54,0.24,0.13,0.184,0.47,0.14,0.74,0.217,0.85
LAC,.473,0.376,0.71,2015,112.4,105.5,94.7,0.303,0.322,0.565,6.59,0.22,56,26,0.533,0.23,0.12,0.215,0.493,0.13,0.76,0.231,0.71
DAL,.463,0.352,0.752,2015,109.5,106.4,95.2,0.262,0.296,0.55,2.90,0.46,50,32,0.515,0.24,0.12,0.197,0.503,0.15,0.72,0.204,0.62
TOR,.455,0.352,0.787,2015,111.0,107.7,92.8,0.295,0.302,0.553,3.07,-0.62,49,33,0.508,0.26,0.12,0.232,0.506,0.13,0.73,0.208,0.57
OKC,.447,0.339,0.754,2015,107.8,105.5,95.7,0.284,0.262,0.532,2.18,0.28,45,37,0.492,0.29,0.13,0.214,0.489,0.12,0.76,0.213,0.57
HOU,.444,0.348,0.715,2015,107.0,103.4,96.5,0.312,0.392,0.548,3.44,0.38,56,26,0.512,0.27,0.15,0.223,0.486,0.15,0.73,0.208,0.71
SAS,.468,0.367,0.78,2015,108.5,102.0,93.8,0.256,0.269,0.555,6.20,0.14,55,27,0.517,0.23,0.13,0.2,0.484,0.13,0.77,0.19,0.71
CLE,.458,0.367,0.751,2015,111.1,106.3,92.3,0.287,0.334,0.557,4.48,-0.40,53,29,0.52,0.27,0.13,0.216,0.502,0.13,0.75,0.177,0.71
POR,.450,0.362,0.801,2015,108.2,103.7,94.2,0.225,0.316,0.544,4.23,0.18,51,31,0.508,0.24,0.13,0.18,0.476,0.11,0.76,0.182,0.62
ATL,.466,0.38,0.778,2015,108.9,103.1,93.9,0.259,0.321,0.563,5.43,-0.68,60,22,0.527,0.21,0.14,0.201,0.492,0.15,0.73,0.185,0.75
PHO,.452,0.341,0.76,2015,105.3,106.2,96.3,0.251,0.291,0.537,-0.90,0.52,39,43,0.501,0.24,0.14,0.191,0.497,0.14,0.74,0.221,0.43
DEN,.433,0.325,0.734,2015,104.5,108.2,96.1,0.278,0.284,0.518,-3.55,0.48,30,52,0.479,0.27,0.13,0.204,0.504,0.13,0.75,0.239,0.37
BOS,.443,0.327,0.754,2015,104.7,104.5,95.8,0.233,0.28,0.523,0.16,-0.56,40,42,0.489,0.25,0.12,0.176,0.494,0.14,0.75,0.208,0.5
SAC,.455,0.341,0.762,2015,105.3,109.2,95.4,0.363,0.204,0.542,-3.71,0.64,29,53,0.49,0.26,0.15,0.276,0.507,0.12,0.75,0.2,0.29
CHI,.442,0.353,0.783,2015,107.5,104.3,92.8,0.304,0.269,0.536,3.00,-0.46,50,32,0.489,0.27,0.13,0.238,0.473,0.11,0.74,0.182,0.62
NOP,.457,0.37,0.751,2015,108.2,107.3,91.4,0.263,0.233,0.537,0.79,0.34,45,37,0.501,0.27,0.12,0.198,0.496,0.12,0.75,0.195,0.57
WAS,.462,0.36,0.742,2015,103.7,103.0,93.7,0.259,0.203,0.534,0.72,-0.55,46,36,0.499,0.25,0.14,0.192,0.481,0.13,0.77,0.21,0.57
DET,.432,0.344,0.703,2015,105.3,106.4,92.8,0.261,0.29,0.515,-1.00,-0.39,32,50,0.482,0.28,0.12,0.184,0.502,0.13,0.75,0.192,0.38
LAL,.435,0.344,0.741,2015,103.4,110.6,94.0,0.276,0.22,0.513,-6.84,0.67,21,61,0.473,0.25,0.12,0.204,0.518,0.12,0.76,0.231,0.25
MEM,.458,0.339,0.773,2015,105.7,102.2,92.0,0.276,0.184,0.531,3.24,0.38,55,27,0.489,0.25,0.13,0.214,0.492,0.14,0.75,0.183,0.71
BRK,.451,0.331,0.748,2015,104.4,107.4,92.7,0.267,0.24,0.529,-2.88,-0.25,38,44,0.491,0.24,0.13,0.2,0.506,0.13,0.74,0.185,0.43
MIL,.459,0.363,0.757,2015,102.7,102.2,94.1,0.258,0.223,0.536,0.43,-0.52,41,41,0.499,0.25,0.16,0.195,0.487,0.16,0.73,0.221,0.5
MIN,.438,0.332,0.776,2015,102.9,112.2,94.4,0.309,0.179,0.517,-8.79,0.79,16,66,0.468,0.27,0.14,0.24,0.537,0.14,0.72,0.187,0.15
IND,.439,0.352,0.756,2015,103.5,103.2,93.2,0.266,0.255,0.523,0.28,-0.51,38,44,0.484,0.24,0.13,0.201,0.478,0.12,0.78,0.217,0.43
ORL,.453,0.347,0.729,2015,101.6,107.7,93.8,0.23,0.235,0.524,-5.72,-0.15,25,57,0.494,0.23,0.14,0.168,0.514,0.14,0.76,0.21,0.29
UTA,.447,0.343,0.721,2015,105.1,104.9,90.4,0.297,0.274,0.531,0.22,0.49,38,44,0.494,0.29,0.15,0.214,0.491,0.13,0.76,0.199,0.43
MIA,.456,0.335,0.741,2015,103.9,106.7,90.9,0.306,0.262,0.54,-2.60,-0.32,37,45,0.5,0.23,0.14,0.227,0.505,0.14,0.73,0.213,0.43
CHO,.420,0.318,0.748,2015,100.1,103.5,93.0,0.269,0.226,0.498,-3.17,-0.27,33,49,0.456,0.22,0.11,0.202,0.487,0.12,0.79,0.188,0.43
PHI,.408,0.32,0.676,2015,95.5,104.8,95.7,0.288,0.319,0.494,-8.98,-0.07,18,64,0.459,0.26,0.16,0.195,0.497,0.15,0.73,0.225,0.15
NYK,.428,0.347,0.769,2015,99.9,110.0,91.2,0.234,0.24,0.508,-9.32,-0.18,17,65,0.47,0.24,0.14,0.18,0.512,0.13,0.73,0.234,0.15
GSW,.487,0.416,0.763,2016,114.5,103.8,99.3,0.25,0.362,0.593,10.76,-0.38,73,9,0.563,0.24,0.14,0.191,0.479,0.13,0.76,0.208,0.99
OKC,.476,0.349,0.782,2016,113.1,105.6,96.7,0.292,0.275,0.565,7.28,-0.19,55,27,0.524,0.31,0.14,0.228,0.484,0.12,0.76,0.205,0.71
SAC,.464,0.359,0.725,2016,106.0,108.4,100.0,0.295,0.26,0.546,-2.48,0.16,33,49,0.51,0.24,0.14,0.214,0.521,0.14,0.75,0.202,0.43
HOU,.452,0.347,0.694,2016,108.3,108.1,97.6,0.352,0.37,0.553,0.20,0.14,41,41,0.516,0.26,0.14,0.244,0.516,0.15,0.73,0.219,0.5
BOS,.439,0.335,0.788,2016,106.8,103.6,98.5,0.264,0.293,0.531,3.21,-0.37,48,34,0.488,0.25,0.12,0.208,0.487,0.15,0.75,0.231,0.57
POR,.450,0.37,0.754,2016,108.8,108.0,96.0,0.268,0.332,0.548,0.83,0.15,44,38,0.511,0.26,0.13,0.202,0.503,0.12,0.76,0.225,0.57
LAC,.465,0.364,0.692,2016,108.3,103.8,95.8,0.318,0.324,0.556,4.28,-0.15,53,29,0.524,0.2,0.12,0.22,0.48,0.14,0.74,0.222,0.71
CLE,.460,0.362,0.748,2016,110.9,104.5,93.3,0.259,0.352,0.558,6.00,-0.55,57,25,0.524,0.25,0.13,0.194,0.496,0.13,0.78,0.205,0.71
WAS,.460,0.358,0.73,2016,105.3,105.8,98.5,0.263,0.282,0.544,-0.50,0.00,41,41,0.511,0.21,0.13,0.192,0.515,0.15,0.78,0.218,0.5
SAS,.484,0.375,0.803,2016,110.3,99.0,93.8,0.246,0.223,0.564,10.63,-0.36,67,15,0.526,0.23,0.12,0.197,0.477,0.14,0.79,0.182,0.85
CHO,.439,0.362,0.79,2016,107.1,104.3,95.7,0.28,0.348,0.545,2.72,-0.36,48,34,0.502,0.2,0.12,0.222,0.496,0.12,0.8,0.191,0.57
ATL,.458,0.35,0.783,2016,105.1,101.4,97.1,0.237,0.336,0.552,3.61,-0.12,48,34,0.516,0.19,0.14,0.185,0.48,0.14,0.75,0.194,0.57
NOP,.448,0.36,0.776,2016,105.6,109.5,96.8,0.259,0.277,0.537,-3.79,0.24,30,52,0.498,0.21,0.12,0.201,0.523,0.13,0.79,0.225,0.37
TOR,.451,0.37,0.777,2016,110.0,105.2,92.9,0.328,0.287,0.552,4.50,-0.42,56,26,0.504,0.25,0.12,0.255,0.498,0.13,0.78,0.201,0.71
MIN,.464,0.338,0.792,2016,106.5,110.1,95.2,0.332,0.202,0.549,-3.54,0.15,29,53,0.498,0.24,0.14,0.263,0.524,0.14,0.75,0.2,0.29
DAL,.444,0.344,0.794,2016,106.7,107.0,94.3,0.265,0.339,0.544,-0.30,0.29,42,40,0.502,0.21,0.12,0.211,0.504,0.13,0.76,0.198,0.5
IND,.450,0.351,0.764,2016,104.6,102.9,96.6,0.268,0.27,0.536,1.71,-0.09,45,37,0.497,0.23,0.14,0.205,0.489,0.14,0.76,0.205,0.57
ORL,.455,0.35,0.757,2016,105.1,106.8,96.0,0.232,0.255,0.533,-1.62,-0.06,35,47,0.5,0.23,0.13,0.175,0.513,0.14,0.76,0.215,0.43
DET,.439,0.345,0.668,2016,106.1,105.5,95.1,0.296,0.303,0.522,0.61,-0.18,44,38,0.491,0.27,0.12,0.197,0.504,0.12,0.79,0.196,0.57
DEN,.442,0.338,0.766,2016,105.6,108.9,95.7,0.282,0.277,0.531,-3.10,0.29,33,49,0.489,0.26,0.13,0.216,0.515,0.13,0.77,0.216,0.43
CHI,.441,0.371,0.787,2016,105.0,106.5,95.7,0.24,0.244,0.526,-1.48,0.01,42,40,0.487,0.24,0.13,0.189,0.485,0.11,0.75,0.182,0.5
PHO,.435,0.348,0.751,2016,102.2,109.0,98.5,0.271,0.302,0.526,-6.66,0.34,23,59,0.487,0.25,0.15,0.204,0.523,0.14,0.77,0.237,0.29
MIA,.470,0.336,0.744,2016,106.1,104.4,93.6,0.282,0.221,0.545,1.65,-0.14,48,34,0.508,0.24,0.13,0.21,0.485,0.12,0.78,0.196,0.57
MEM,.440,0.331,0.783,2016,105.4,107.8,93.3,0.295,0.222,0.524,-2.24,0.11,42,40,0.477,0.25,0.12,0.231,0.518,0.15,0.75,0.251,0.5
MIL,.467,0.345,0.747,2016,104.3,108.7,94.2,0.276,0.189,0.537,-4.18,0.20,33,49,0.499,0.25,0.14,0.207,0.51,0.14,0.73,0.221,0.43
BRK,.453,0.352,0.757,2016,103.2,110.9,95.2,0.246,0.218,0.527,-7.35,0.24,21,61,0.492,0.24,0.14,0.186,0.534,0.13,0.76,0.176,0.25
NYK,.439,0.346,0.805,2016,104.6,107.6,93.4,0.255,0.256,0.527,-2.73,0.00,32,50,0.483,0.24,0.13,0.205,0.487,0.1,0.76,0.204,0.38
UTA,.449,0.355,0.744,2016,105.9,103.9,91.0,0.286,0.297,0.54,1.79,0.05,40,42,0.501,0.26,0.14,0.213,0.495,0.14,0.78,0.21,0.5
PHI,.431,0.339,0.694,2016,98.8,109.2,97.9,0.269,0.327,0.519,-10.23,0.31,10,72,0.487,0.21,0.15,0.186,0.51,0.14,0.74,0.24,0.12
LAL,.414,0.317,0.781,2016,101.6,111.6,95.6,0.292,0.29,0.509,-9.56,0.64,17,65,0.46,0.23,0.12,0.228,0.523,0.12,0.75,0.202,0.15
GSW,.495,0.383,0.788,2017,115.6,104.0,99.8,0.259,0.359,0.597,11.63,-0.28,67,15,0.563,0.23,0.13,0.204,0.486,0.14,0.75,0.198,0.85
HOU,.462,0.357,0.766,2017,114.7,109.0,100.0,0.304,0.462,0.583,5.77,0.08,55,27,0.545,0.25,0.13,0.233,0.519,0.13,0.76,0.194,0.71
DEN,.469,0.368,0.774,2017,113.2,112.7,98.3,0.276,0.329,0.568,0.51,0.19,40,42,0.53,0.27,0.13,0.214,0.532,0.11,0.79,0.194,0.5
CLE,.470,0.384,0.748,2017,113.6,110.3,96.2,0.275,0.399,0.58,3.18,-0.31,51,31,0.547,0.22,0.13,0.206,0.516,0.11,0.76,0.174,0.62
WAS,.475,0.372,0.784,2017,111.2,109.3,97.4,0.254,0.284,0.564,1.80,-0.45,49,33,0.528,0.24,0.13,0.199,0.524,0.14,0.76,0.213,0.57
LAC,.475,0.375,0.745,2017,112.7,108.2,96.1,0.312,0.329,0.574,4.29,0.13,51,31,0.537,0.22,0.12,0.233,0.506,0.12,0.77,0.211,0.62
BOS,.454,0.359,0.807,2017,111.2,108.4,96.8,0.273,0.393,0.567,2.63,-0.39,53,29,0.525,0.21,0.12,0.22,0.503,0.13,0.75,0.223,0.71
POR,.459,0.375,0.78,2017,110.3,110.8,96.7,0.275,0.322,0.559,-0.52,0.30,41,41,0.52,0.23,0.12,0.214,0.508,0.12,0.77,0.241,0.5
PHO,.450,0.332,0.776,2017,106.6,112.2,100.3,0.297,0.255,0.538,-5.63,0.49,24,58,0.493,0.26,0.13,0.231,0.525,0.13,0.76,0.264,0.29
TOR,.464,0.363,0.796,2017,112.3,107.8,94.7,0.293,0.289,0.561,4.21,-0.56,51,31,0.517,0.25,0.12,0.233,0.507,0.14,0.76,0.223,0.62
OKC,.452,0.327,0.745,2017,108.3,107.5,97.8,0.295,0.295,0.54,0.76,0.39,47,35,0.5,0.28,0.13,0.22,0.511,0.12,0.79,0.218,0.57
BRK,.444,0.338,0.788,2017,104.1,110.7,101.3,0.289,0.371,0.551,-6.73,-0.01,20,62,0.507,0.2,0.15,0.228,0.513,0.12,0.76,0.212,0.25
MIN,.467,0.349,0.799,2017,110.8,112.0,94.6,0.287,0.249,0.555,-1.11,0.47,31,51,0.511,0.27,0.13,0.229,0.535,0.13,0.76,0.212,0.38
SAS,.469,0.391,0.797,2017,111.1,103.5,94.2,0.263,0.281,0.564,7.20,-0.06,61,21,0.524,0.24,0.13,0.21,0.492,0.14,0.78,0.192,0.75
IND,.465,0.376,0.81,2017,108.6,108.8,95.9,0.261,0.272,0.558,-0.22,-0.42,42,40,0.516,0.21,0.13,0.212,0.512,0.14,0.76,0.225,0.5
CHO,.442,0.351,0.815,2017,108.8,108.6,95.7,0.279,0.335,0.547,0.20,-0.26,36,46,0.501,0.2,0.11,0.227,0.523,0.12,0.8,0.164,0.43
LAL,.450,0.346,0.754,2017,106.0,113.0,98.5,0.259,0.295,0.537,-6.88,0.58,26,56,0.501,0.25,0.14,0.195,0.542,0.13,0.76,0.213,0.29
NOP,.450,0.35,0.75,2017,105.2,107.4,98.0,0.256,0.308,0.539,-2.10,0.41,34,48,0.504,0.18,0.12,0.192,0.509,0.12,0.77,0.177,0.43
NYK,.447,0.348,0.788,2017,107.7,111.5,96.0,0.239,0.279,0.534,-3.67,-0.20,31,51,0.496,0.27,0.12,0.188,0.511,0.12,0.74,0.214,0.38
MIL,.474,0.37,0.768,2017,109.1,109.3,94.5,0.274,0.29,0.565,-0.18,-0.26,42,40,0.527,0.22,0.13,0.21,0.518,0.14,0.75,0.215,0.5
MIA,.455,0.365,0.706,2017,107.8,106.7,95.2,0.251,0.314,0.541,1.06,-0.29,41,41,0.512,0.24,0.12,0.177,0.496,0.13,0.76,0.22,0.5
ATL,.451,0.341,0.728,2017,104.9,105.7,97.4,0.295,0.309,0.541,-0.85,-0.38,43,39,0.504,0.24,0.14,0.215,0.507,0.14,0.76,0.179,0.57
CHI,.444,0.34,0.798,2017,107.4,107.0,95.3,0.259,0.256,0.53,0.43,-0.39,41,41,0.487,0.27,0.12,0.206,0.507,0.12,0.77,0.169,0.5
SAC,.461,0.376,0.775,2017,107.3,111.3,94.9,0.284,0.291,0.556,-3.88,0.58,32,50,0.516,0.21,0.14,0.22,0.528,0.13,0.76,0.227,0.38
PHI,.442,0.34,0.771,2017,103.2,108.9,98.5,0.258,0.349,0.539,-5.70,-0.14,28,54,0.501,0.22,0.15,0.199,0.512,0.14,0.75,0.234,0.29
DET,.449,0.33,0.719,2017,106.0,107.1,95.0,0.218,0.263,0.521,-1.12,-0.17,37,45,0.492,0.24,0.11,0.157,0.516,0.12,0.81,0.197,0.43
ORL,.440,0.328,0.747,2017,103.7,110.5,96.8,0.246,0.3,0.524,-6.57,-0.04,29,53,0.489,0.22,0.12,0.184,0.523,0.12,0.77,0.201,0.29
UTA,.466,0.372,0.747,2017,109.6,105.3,91.6,0.288,0.327,0.563,3.94,0.06,51,31,0.526,0.23,0.13,0.215,0.493,0.12,0.79,0.195,0.62
MEM,.435,0.354,0.784,2017,107.7,107.1,92.3,0.28,0.316,0.535,0.49,0.47,43,39,0.491,0.25,0.12,0.219,0.506,0.14,0.78,0.256,0.57
DAL,.440,0.355,0.801,2017,105.6,108.8,92.2,0.225,0.366,0.541,-2.93,0.40,33,49,0.505,0.18,0.12,0.18,0.529,0.14,0.78,0.218,0.43
GSW,.503,0.391,0.815,2018,113.6,107.6,99.6,0.239,0.339,0.603,5.98,-0.19,58,24,0.569,0.21,0.14,0.195,0.504,0.13,0.76,0.186,0.71
HOU,.460,0.362,0.781,2018,114.7,106.1,97.6,0.298,0.502,0.59,8.48,-0.27,65,17,0.551,0.21,0.13,0.233,0.521,0.13,0.8,0.171,0.85
NOP,.483,0.362,0.772,2018,109.6,108.3,100.5,0.237,0.319,0.573,1.30,0.18,48,34,0.541,0.2,0.13,0.183,0.513,0.12,0.77,0.175,0.57
TOR,.472,0.358,0.794,2018,113.8,105.9,97.4,0.25,0.377,0.575,7.78,-0.49,59,23,0.539,0.23,0.12,0.198,0.501,0.13,0.78,0.212,0.71
CLE,.476,0.372,0.779,2018,112.9,111.9,98.0,0.275,0.379,0.584,0.94,-0.35,50,32,0.547,0.2,0.13,0.214,0.54,0.12,0.77,0.166,0.62
DEN,.470,0.371,0.767,2018,112.5,111.0,96.8,0.258,0.357,0.57,1.48,0.09,46,36,0.536,0.26,0.13,0.198,0.539,0.13,0.78,0.173,0.57
PHI,.472,0.369,0.752,2018,109.5,105.0,99.8,0.263,0.344,0.568,4.50,-0.20,52,30,0.535,0.25,0.15,0.198,0.492,0.13,0.79,0.218,0.63
MIN,.476,0.357,0.804,2018,113.4,111.1,96.0,0.28,0.261,0.566,2.23,0.12,47,35,0.523,0.24,0.11,0.225,0.539,0.14,0.76,0.189,0.57
LAC,.471,0.354,0.743,2018,110.3,110.2,98.7,0.299,0.314,0.564,0.04,0.11,42,40,0.527,0.24,0.13,0.222,0.52,0.13,0.76,0.203,0.5
CHO,.450,0.369,0.747,2018,109.4,109.1,98.4,0.312,0.314,0.549,0.26,-0.19,36,46,0.508,0.22,0.11,0.233,0.532,0.12,0.81,0.165,0.43
LAL,.461,0.345,0.714,2018,106.5,108.0,100.3,0.264,0.329,0.548,-1.55,0.11,35,47,0.517,0.24,0.14,0.188,0.514,0.12,0.78,0.19,0.43
OKC,.453,0.354,0.716,2018,110.7,107.2,96.7,0.275,0.345,0.546,3.41,0.00,48,34,0.514,0.28,0.12,0.197,0.525,0.15,0.77,0.193,0.57
WAS,.467,0.375,0.772,2018,109.3,108.7,96.6,0.254,0.31,0.56,0.59,-0.06,43,39,0.525,0.24,0.13,0.196,0.522,0.14,0.77,0.212,0.57
BRK,.441,0.356,0.772,2018,106.9,110.6,98.9,0.26,0.411,0.551,-3.74,0.07,28,54,0.514,0.21,0.14,0.201,0.517,0.11,0.77,0.201,0.29
MIL,.478,0.355,0.783,2018,109.8,110.1,96.2,0.281,0.297,0.571,-0.30,-0.15,44,38,0.531,0.2,0.13,0.22,0.528,0.14,0.76,0.22,0.57
POR,.452,0.366,0.8,2018,109.1,106.4,96.5,0.24,0.324,0.549,2.60,0.00,49,33,0.511,0.23,0.12,0.192,0.503,0.12,0.79,0.193,0.57
IND,.472,0.369,0.779,2018,109.5,108.1,96.0,0.222,0.284,0.557,1.38,-0.20,48,34,0.525,0.23,0.12,0.173,0.527,0.14,0.76,0.174,0.57
NYK,.464,0.352,0.787,2018,107.1,110.7,96.8,0.216,0.266,0.544,-3.56,0.03,29,53,0.51,0.24,0.13,0.17,0.522,0.12,0.77,0.208,0.29
UTA,.462,0.366,0.779,2018,108.4,103.9,95.7,0.26,0.357,0.564,4.30,0.17,48,34,0.527,0.22,0.14,0.202,0.506,0.14,0.8,0.19,0.57
